x	E1095
0	0
0.01	-0.00455009
0.02	-0.00907702
0.03	-0.0135575
0.04	-0.0179913
0.05	-0.0223817
0.06	-0.0267282
0.07	-0.0310302
0.08	-0.0352881
0.09	-0.0395026
0.1	-0.0436739
0.11	-0.0478024
0.12	-0.0518886
0.13	-0.0559327
0.14	-0.0599353
0.15	-0.0638966
0.16	-0.067817
0.17	-0.071697
0.18	-0.075537
0.19	-0.0793372
0.2	-0.0830982
0.21	-0.0868202
0.22	-0.0905038
0.23	-0.0941493
0.24	-0.097757
0.25	-0.101327
0.26	-0.104861
0.27	-0.108358
0.28	-0.111818
0.29	-0.115243
0.3	-0.118632
0.31	-0.121987
0.32	-0.125306
0.33	-0.128591
0.34	-0.131842
0.35	-0.135059
0.36	-0.138243
0.37	-0.141393
0.38	-0.144511
0.39	-0.147596
0.4	-0.150649
0.41	-0.15367
0.42	-0.15666
0.43	-0.159618
0.44	-0.162626
0.45	-0.165689
0.46	-0.168855
0.47	-0.171987
0.48	-0.175087
0.49	-0.178152
0.5	-0.181184
0.51	-0.175716
0.52	-0.170104
0.53	-0.164352
0.54	-0.158466
0.55	-0.15245
0.56	-0.146313
0.57	-0.140063
0.58	-0.133706
0.59	-0.127254
0.6	-0.120714
0.61	-0.114097
0.62	-0.107413
0.63	-0.100672
0.64	-0.0938828
0.65	-0.0870558
0.66	-0.0802
0.67	-0.0733244
0.68	-0.0664374
0.69	-0.0595471
0.7	-0.0526611
0.71	-0.0457862
0.72	-0.0389293
0.73	-0.0320962
0.74	-0.0252926
0.75	-0.0185236
0.76	-0.011794
0.77	-0.00510807
0.78	0.00153033
0.79	0.00811762
0.8	0.0146506
0.81	0.0211264
0.82	0.0275424
0.83	0.0338963
0.84	0.0401861
0.85	0.04641
0.86	0.0525663
0.87	0.0586538
0.88	0.0646711
0.89	0.0706174
0.9	0.0764918
0.91	0.0822937
0.92	0.0880225
0.93	0.0936778
0.94	0.0992595
0.95	0.104767
0.96	0.110201
0.97	0.115562
0.98	0.120848
0.99	0.126062
1	0.131202
1.01	0.131201
1.02	0.131201
1.03	0.131192
1.04	0.131192
1.05	0.131191
1.06	0.131191
1.07	0.131199
1.08	0.131199
1.09	0.131141
1.1	0.131141
1.11	0.131153
1.12	0.131153
1.13	0.131151
1.14	0.131151
1.15	0.131185
1.16	0.131185
1.17	0.131179
1.18	0.131179
1.19	0.131173
1.2	0.131173
1.21	0.131167
1.22	0.131167
1.23	0.131172
1.24	0.131172
1.25	0.131165
1.26	0.131165
1.27	0.131154
1.28	0.131154
1.29	0.131176
1.3	0.131176
1.31	0.131177
1.32	0.131177
1.33	0.131182
1.34	0.131182
1.35	0.131181
1.36	0.131181
1.37	0.131183
1.38	0.131183
1.39	0.13118
1.4	0.13118
1.41	0.13119
1.42	0.13119
1.43	0.1312
1.44	0.1312
1.45	0.131191
1.46	0.131191
1.47	0.13119
1.48	0.13119
1.49	0.131177
1.5	0.131177
1.51	0.131187
1.52	0.131187
1.53	0.131195
1.54	0.131195
1.55	0.13804
1.56	0.152426
1.57	0.171026
1.58	0.186536
1.59	0.204036
1.5992	0.218929
1.60848	0.232022
1.61791	0.243231
1.62658	0.252032
1.63552	0.259825
1.64468	0.266757
1.654	0.268758
1.66345	0.269922
1.67208	0.274246
1.68097	0.278391
1.69009	0.282196
1.69938	0.285658
1.70882	0.28882
1.71837	0.292984
1.72801	0.295524
1.73772	0.29779
1.74749	0.299806
1.7573	0.301596
1.76715	0.303183
1.77703	0.304589
1.78694	0.305837
1.79686	0.306944
1.8068	0.307926
1.81675	0.308798
1.82672	0.309573
1.83669	0.310259
1.84666	0.310867
1.85664	0.311404
1.86662	0.311877
1.87661	0.31229
1.8866	0.312649
1.89659	0.312959
1.90659	0.313222
1.91658	0.313442
1.92658	0.313622
1.93657	0.313765
1.94657	0.313872
1.95657	0.313946
1.96657	0.313988
1.97657	0.314
1.98657	0.313981
1.99656	0.313933
2.00656	0.313858
2.01656	0.313756
2.02656	0.313628
2.03656	0.313475
2.04656	0.313297
2.05656	0.313124
2.06656	0.312942
2.07656	0.312797
2.08656	0.312769
2.09656	0.313158
2.1	0.313087
