x	E1095
0	0
0.01	-0.00531017
0.02	-0.0100902
0.03	-0.0148201
0.04	-0.0195002
0.05	-0.0241309
0.06	-0.0287126
0.07	-0.0332458
0.08	-0.0377309
0.09	-0.0421685
0.1	-0.0465591
0.11	-0.050903
0.12	-0.0552008
0.13	-0.059453
0.14	-0.0636601
0.15	-0.0678224
0.16	-0.0719407
0.17	-0.0760152
0.18	-0.0800466
0.19	-0.0840352
0.2	-0.0879817
0.21	-0.0918864
0.22	-0.0957499
0.23	-0.0995727
0.24	-0.103355
0.25	-0.107098
0.26	-0.110801
0.27	-0.114466
0.28	-0.118092
0.29	-0.12168
0.3	-0.12523
0.31	-0.128744
0.32	-0.13222
0.33	-0.135661
0.34	-0.139066
0.35	-0.142435
0.36	-0.14577
0.37	-0.149069
0.38	-0.152335
0.39	-0.155567
0.4	-0.158765
0.41	-0.16193
0.42	-0.165063
0.43	-0.168163
0.44	-0.171231
0.45	-0.174272
0.46	-0.177345
0.47	-0.180423
0.48	-0.183497
0.49	-0.186537
0.5	-0.189544
0.51	-0.185099
0.52	-0.180523
0.53	-0.175813
0.54	-0.170967
0.55	-0.16598
0.56	-0.16085
0.57	-0.155573
0.58	-0.150148
0.59	-0.144571
0.6	-0.138841
0.61	-0.132956
0.62	-0.126915
0.63	-0.120717
0.64	-0.114363
0.65	-0.107852
0.66	-0.101186
0.67	-0.0943676
0.68	-0.0873982
0.69	-0.0802816
0.7	-0.0730219
0.71	-0.065624
0.72	-0.0580937
0.73	-0.0504371
0.74	-0.0426629
0.75	-0.0347712
0.76	-0.0267036
0.77	-0.0187155
0.78	-0.0105451
0.79	-0.00230994
0.8	0.00598642
0.81	0.0143326
0.82	0.0227169
0.83	0.0311276
0.84	0.0395527
0.85	0.0479803
0.86	0.0563987
0.87	0.0647963
0.88	0.0731617
0.89	0.0814842
0.9	0.0897534
0.91	0.0979594
0.92	0.106093
0.93	0.114146
0.94	0.12211
0.95	0.129978
0.96	0.137743
0.97	0.145401
0.98	0.152946
0.99	0.160374
1	0.167682
1.01	0.167678
1.02	0.167678
1.03	0.16768
1.04	0.16768
1.05	0.167673
1.06	0.167673
1.07	0.167681
1.08	0.167681
1.09	0.167677
1.1	0.167677
1.11	0.167667
1.12	0.167667
1.13	0.167604
1.14	0.167604
1.15	0.1676
1.16	0.1676
1.17	0.167594
1.18	0.167594
1.19	0.167601
1.2	0.167601
1.21	0.1676
1.22	0.1676
1.23	0.167609
1.24	0.167609
1.25	0.167609
1.26	0.167609
1.27	0.167657
1.28	0.167657
1.29	0.167651
1.3	0.167651
1.31	0.167657
1.32	0.167657
1.33	0.167663
1.34	0.167663
1.35	0.167653
1.36	0.167653
1.37	0.167647
1.38	0.167647
1.39	0.167642
1.4	0.167642
1.41	0.167635
1.42	0.167635
1.43	0.167715
1.44	0.167715
1.45	0.167716
1.46	0.167717
1.47	0.167711
1.48	0.167711
1.49	0.167703
1.5	0.167703
1.51	0.167692
1.52	0.167692
1.53	0.167676
1.54	0.167676
1.55	0.180867
1.56	0.205006
1.57	0.235415
1.57957	0.258673
1.58923	0.278419
1.59896	0.294288
1.60874	0.306695
1.61856	0.316339
1.62842	0.323855
1.6383	0.329727
1.64731	0.33392
1.65652	0.337329
1.66588	0.340061
1.67537	0.342227
1.68497	0.343925
1.69464	0.345247
1.70438	0.346271
1.71417	0.347062
1.72401	0.347675
1.73387	0.34815
1.74377	0.348523
1.75368	0.34882
1.76361	0.349063
1.77356	0.349268
1.78351	0.349447
1.79348	0.349608
1.80345	0.349756
1.81343	0.349893
1.82341	0.350019
1.8334	0.350132
1.84339	0.35023
1.85338	0.350309
1.86337	0.350366
1.87336	0.350398
1.88336	0.350402
1.89336	0.350376
1.90335	0.350318
1.91335	0.350228
1.92335	0.350104
1.93335	0.349948
1.94335	0.349759
1.95334	0.349539
1.96334	0.349288
1.97334	0.349008
1.98334	0.348701
1.99334	0.348367
2.00334	0.348007
2.01334	0.347624
2.02334	0.347217
2.03334	0.346788
2.04334	0.346338
2.05334	0.345867
2.06334	0.345376
2.07334	0.344867
2.08334	0.34434
2.09334	0.343796
2.1	0.343428
