x	E1095
0	0
0.01	-0.00455009
0.02	-0.00907702
0.03	-0.0135575
0.04	-0.0179913
0.05	-0.0223817
0.06	-0.0267282
0.07	-0.0310302
0.08	-0.0352881
0.09	-0.0395026
0.1	-0.0436739
0.11	-0.0478024
0.12	-0.0518886
0.13	-0.0559327
0.14	-0.0599353
0.15	-0.0638966
0.16	-0.067817
0.17	-0.071697
0.18	-0.075537
0.19	-0.0793372
0.2	-0.0830982
0.21	-0.0868202
0.22	-0.0905038
0.23	-0.0941493
0.24	-0.097757
0.25	-0.101327
0.26	-0.104861
0.27	-0.108358
0.28	-0.111818
0.29	-0.115243
0.3	-0.118632
0.31	-0.121987
0.32	-0.125306
0.33	-0.128591
0.34	-0.131842
0.35	-0.135059
0.36	-0.138243
0.37	-0.141393
0.38	-0.144511
0.39	-0.147596
0.4	-0.150649
0.41	-0.15367
0.42	-0.15666
0.43	-0.159618
0.44	-0.162626
0.45	-0.165689
0.46	-0.168855
0.47	-0.171987
0.48	-0.175087
0.49	-0.178152
0.5	-0.181184
0.51	-0.175716
0.52	-0.170104
0.53	-0.164352
0.54	-0.158466
0.55	-0.15245
0.56	-0.146313
0.57	-0.140063
0.58	-0.133706
0.59	-0.127254
0.6	-0.120714
0.61	-0.114097
0.62	-0.107413
0.63	-0.100672
0.64	-0.0938828
0.65	-0.0870558
0.66	-0.0802
0.67	-0.0733244
0.68	-0.0664374
0.69	-0.0595471
0.7	-0.0526611
0.71	-0.0457862
0.72	-0.0389293
0.73	-0.0320962
0.74	-0.0252926
0.75	-0.0185236
0.76	-0.011794
0.77	-0.00510807
0.78	0.00153033
0.79	0.00811762
0.8	0.0146506
0.81	0.0211264
0.82	0.0275424
0.83	0.0338963
0.84	0.0401861
0.85	0.04641
0.86	0.0525663
0.87	0.0586538
0.88	0.0646711
0.89	0.0706174
0.9	0.0764918
0.91	0.0822937
0.92	0.0880225
0.93	0.0936778
0.94	0.0992595
0.95	0.104767
0.96	0.110201
0.97	0.115562
0.98	0.120848
0.99	0.126062
1	0.131202
1.01	0.131201
1.02	0.131201
1.03	0.131208
1.04	0.131208
1.05	0.131187
1.06	0.131187
1.07	0.131189
1.08	0.131189
1.09	0.131181
1.1	0.131181
1.11	0.131173
1.12	0.131173
1.13	0.131164
1.14	0.131164
1.15	0.131158
1.16	0.131158
1.17	0.131167
1.18	0.131167
1.19	0.131158
1.2	0.131158
1.21	0.131164
1.22	0.131164
1.23	0.131164
1.24	0.131164
1.25	0.131163
1.26	0.131163
1.27	0.131163
1.28	0.131163
1.29	0.131163
1.3	0.131163
1.31	0.131163
1.32	0.131162
1.33	0.131162
1.34	0.131156
1.35	0.131156
1.36	0.131156
1.37	0.131157
1.38	0.131157
1.39	0.131157
1.4	0.131162
1.41	0.131162
1.42	0.131172
1.43	0.131172
1.44	0.131161
1.45	0.131161
1.46	0.131153
1.47	0.131153
1.48	0.131178
1.49	0.131178
1.5	0.131173
1.51	0.131173
1.52	0.131162
1.53	0.131162
1.54	0.131163
1.55	0.138008
1.56	0.152394
1.57	0.170993
1.58	0.187906
1.59	0.204811
1.6	0.221168
1.60909	0.23376
1.61752	0.243663
1.62626	0.25245
1.63526	0.260211
1.64446	0.267074
1.65381	0.270827
1.66317	0.275478
1.67259	0.28333
1.68213	0.287576
1.69167	0.29132
1.70131	0.294656
1.71101	0.297619
1.72078	0.300238
1.73059	0.302545
1.74044	0.30457
1.75032	0.306345
1.76022	0.307901
1.77014	0.309266
1.78008	0.310466
1.79003	0.311523
1.79999	0.312457
1.80996	0.313284
1.81993	0.314017
1.82991	0.314669
1.8399	0.315249
1.84988	0.315763
1.85987	0.31622
1.86987	0.316623
1.87986	0.316978
1.88985	0.317288
1.89985	0.317554
1.90985	0.317782
1.91984	0.317974
1.92984	0.318132
1.93984	0.318256
1.94984	0.31835
1.95984	0.318415
1.96984	0.318448
1.97984	0.318454
1.98983	0.318435
1.99983	0.318387
2.00983	0.318312
2.01983	0.318228
2.02983	0.318095
2.03983	0.317969
2.04983	0.317826
2.05983	0.317701
2.06983	0.317644
2.07983	0.317929
2.08983	0.319366
2.09983	0.319117
2.1	0.319089
