x	E1095
0	0
0.01	-0.00531017
0.02	-0.0100902
0.03	-0.0148201
0.04	-0.0195002
0.05	-0.0241309
0.06	-0.0287126
0.07	-0.0332458
0.08	-0.0377309
0.09	-0.0421685
0.1	-0.0465591
0.11	-0.050903
0.12	-0.0552008
0.13	-0.059453
0.14	-0.0636601
0.15	-0.0678224
0.16	-0.0719407
0.17	-0.0760152
0.18	-0.0800466
0.19	-0.0840352
0.2	-0.0879817
0.21	-0.0918864
0.22	-0.0957499
0.23	-0.0995727
0.24	-0.103355
0.25	-0.107098
0.26	-0.110801
0.27	-0.114466
0.28	-0.118092
0.29	-0.12168
0.3	-0.12523
0.31	-0.128744
0.32	-0.13222
0.33	-0.135661
0.34	-0.139066
0.35	-0.142435
0.36	-0.14577
0.37	-0.149069
0.38	-0.152335
0.39	-0.155567
0.4	-0.158765
0.41	-0.16193
0.42	-0.165063
0.43	-0.168163
0.44	-0.171231
0.45	-0.174272
0.46	-0.177345
0.47	-0.180423
0.48	-0.183497
0.49	-0.186537
0.5	-0.189544
0.51	-0.185099
0.52	-0.180523
0.53	-0.175813
0.54	-0.170967
0.55	-0.16598
0.56	-0.16085
0.57	-0.155573
0.58	-0.150148
0.59	-0.144571
0.6	-0.138841
0.61	-0.132956
0.62	-0.126915
0.63	-0.120717
0.64	-0.114363
0.65	-0.107852
0.66	-0.101186
0.67	-0.0943676
0.68	-0.0873982
0.69	-0.0802816
0.7	-0.0730219
0.71	-0.065624
0.72	-0.0580937
0.73	-0.0504371
0.74	-0.042663
0.75	-0.034771
0.76	-0.0267006
0.77	-0.0187155
0.78	-0.0105451
0.79	-0.00230994
0.8	0.00598642
0.81	0.0143326
0.82	0.0227169
0.83	0.0311276
0.84	0.0395527
0.85	0.0479803
0.86	0.0563987
0.87	0.0647963
0.88	0.0731617
0.89	0.0814842
0.9	0.0897534
0.91	0.0979594
0.92	0.106093
0.93	0.114146
0.94	0.12211
0.95	0.129978
0.96	0.137743
0.97	0.145401
0.98	0.152946
0.99	0.160374
1	0.167682
1.01	0.167678
1.02	0.167678
1.03	0.167688
1.04	0.167688
1.05	0.167688
1.06	0.167688
1.07	0.167687
1.08	0.167687
1.09	0.167686
1.1	0.167686
1.11	0.167683
1.12	0.167683
1.13	0.167691
1.14	0.167691
1.15	0.167687
1.16	0.167687
1.17	0.167686
1.18	0.167686
1.19	0.16768
1.2	0.16768
1.21	0.167659
1.22	0.167659
1.23	0.167653
1.24	0.167653
1.25	0.16765
1.26	0.16765
1.27	0.167659
1.28	0.167659
1.29	0.167636
1.3	0.167636
1.31	0.167655
1.32	0.167655
1.33	0.167659
1.34	0.167659
1.35	0.167658
1.36	0.167658
1.37	0.167656
1.38	0.167656
1.39	0.167618
1.4	0.167618
1.41	0.167612
1.42	0.167612
1.43	0.16761
1.44	0.16761
1.45	0.167602
1.46	0.167602
1.47	0.167586
1.48	0.167586
1.49	0.167585
1.5	0.167585
1.51	0.167575
1.52	0.167575
1.53	0.167562
1.54	0.167562
1.55	0.180753
1.56	0.204893
1.57	0.233252
1.58	0.257601
1.59	0.277895
1.6	0.293989
1.61	0.306318
1.62	0.316111
1.63	0.323855
1.64	0.33005
1.64909	0.334629
1.65836	0.338502
1.66778	0.341778
1.67732	0.344553
1.68694	0.34691
1.69665	0.348922
1.70641	0.350649
1.71622	0.352138
1.72606	0.353427
1.73594	0.354545
1.74584	0.355514
1.75577	0.356354
1.7657	0.357079
1.77565	0.357701
1.78561	0.358231
1.79558	0.358679
1.80556	0.359052
1.81554	0.359357
1.82552	0.359601
1.83551	0.359788
1.8455	0.359923
1.85549	0.36001
1.86548	0.360051
1.87548	0.36005
1.88547	0.360009
1.89547	0.359931
1.90547	0.359815
1.91546	0.359665
1.92546	0.359482
1.93546	0.359267
1.94546	0.35902
1.95546	0.358744
1.96546	0.35844
1.97546	0.358109
1.98546	0.357752
1.99546	0.35737
2.00546	0.356964
2.01546	0.356537
2.02546	0.356089
2.03546	0.355621
2.04545	0.355135
2.05545	0.354632
2.06545	0.354111
2.07545	0.353576
2.08545	0.353025
2.09545	0.352461
2.1	0.352201
